Model,Correlation,AIC,Delta_AIC,AIC_weight,df
B33_AR1,AR1,668.4010775095599,0,0.14774160568039624,9
B29c_AR1,AR1,668.6710841155262,0.2700066059663868,0.12908376533908988,8
B28_AR1,AR1,669.101019922612,0.6999424130520993,0.10411474766100999,7
B35_AR1,AR1,669.5730189811057,1.1719414715458925,0.08222785428306464,13
B37_AR1,AR1,669.594085751188,1.1930082416281493,0.08136626233892208,15
B29_AR1,AR1,669.6853220736622,1.2842445641023232,0.0777378725069558,6
B34_AR1,AR1,670.0162536536635,1.615176144103657,0.0658827579898668,11
B29a_AR1,AR1,670.5041176089303,2.103040099370446,0.05162183751632432,7
B38_AR1,AR1,670.6905115209028,2.2894340113429053,0.0470282194166711,10
B29d_AR1,AR1,670.8642534888331,2.4631759792732737,0.04311525378794225,8
